label,accuracy
playing guitar,0.194444
bowling,0.634615
playing saxophone,0.346154
brushing teeth,0.950000
playing basketball,0.642857
tying tie,0.531250
brushing hair,0.937500
punching person (boxing),0.875000
playing accordion,0.522727
archery,0.460526
catching or throwing frisbee,0.928571
drinking,0.805556
eating ice cream,0.772727
flying kite,0.425000
sweeping floor,0.454545
skipping rope,0.958333
clean and jerk,0.750000
eating cake,0.486842
catching or throwing baseball,0.875000
skiing (not slalom or crosscountry),0.475000
juggling soccer ball,0.819444
deadlifting,0.931818
shooting basketball,0.552632
canoeing or kayaking,0.303571
surfing water,0.600000
playing volleyball,0.769231
playing piano,0.573529
writing,0.596154
dribbling basketball,0.722222
juggling balls,0.770833
playing trumpet,0.464286
smoking,0.815789
shooting goal (soccer),0.964286
hitting baseball,0.966667
sword fighting,0.735294
climbing ladder,0.153846
playing bass guitar,0.403846
playing tennis,0.460526
climbing a rope,0.410714
golf driving,0.718750
hurdling,0.825000
dunking basketball,0.850000
skiing slalom,0.425000
reading book,0.250000
walking the dog,0.450000
driving car,0.296875
cleaning windows,0.156250
opening bottle,0.444444
playing violin,0.400000
reading newspaper,0.125000
